,title,anime_id,type,source,episodes,status,airing,duration,rating,score,scored_by,rank,popularity,members,favorites,licensor,0,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,year
5387,I&#039;&#039;s,1084,5,13,2,2,1,29.0,6,6.09,3569,7116.0,4235,7156,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5388,Skirt,32757,1,7,1,2,1,6.0,5,5.52,79,8347.0,11992,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5389,Cooking Papa,8123,6,15,151,2,1,25.0,5,6.75,124,4521.0,8594,843,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1992
5390,Punpun Polka,34406,1,7,1,2,1,1.0,5,3.92,49,11836.0,12839,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5391,Oshiruko,5880,2,14,1,2,1,1.0,5,5.11,527,8936.0,8598,845,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5392,Binetsu Shoukougun,3942,5,15,2,2,1,38.0,3,5.51,285,0.0,8267,1005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5393,Harenchi Koumon Manyuuki,5566,5,15,1,2,1,44.0,3,5.52,180,0.0,9157,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5394,Uchuu Patrol Luluco,32681,6,14,13,2,1,7.0,6,7.71,44273,1095.0,961,88018,828,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016
5395,Ansatsu Kyoushitsu: Jump Festa 2013 Special,19759,3,13,1,2,1,31.0,6,7.33,23354,2295.0,1555,48699,691,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5396,Doujin Work,2166,6,6,12,2,1,13.0,6,6.86,10989,4061.0,2508,22379,39,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
5397,Eine Kleine,30907,1,15,1,2,1,4.0,5,7.0,456,3563.0,8791,760,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5398,Mameshiba x Gaist Crusher Collab CM,33547,3,9,1,2,1,30.0,5,4.74,43,11151.0,11016,223,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5399,Trigun,6,6,13,26,2,1,24.0,6,8.31,197843,234.0,138,373877,9795,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1998
5400,Kenka Banchou Otome: Girl Beats Boys,34501,6,12,12,2,1,8.0,6,6.61,14286,5156.0,1941,34769,121,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017
5401,SOS TV Walpurgis Night Fever Episode 0,8710,3,14,1,2,1,2.0,6,5.43,285,8500.0,9186,605,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5402,Friends: Mononoke Shima no Naki,10115,4,15,1,2,1,87.0,4,7.06,244,3333.0,8897,712,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5403,Saint Seiya: Saishuu Seisen no Senshi-tachi,1260,4,15,1,2,1,45.0,6,7.02,5548,3508.0,3718,9759,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5404,Shijou Saikyou no Deshi Kenichi,1559,6,13,50,2,1,25.0,6,8.22,93353,293.0,475,169346,2789,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2006
5405,Baby☆Love,722,5,13,1,2,1,30.0,6,6.38,2008,6062.0,5173,4321,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5406,Chokin Senshi Cashman,6484,5,15,1,2,1,15.0,4,5.8,295,7794.0,8882,717,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5407,Pinky,16604,2,15,1,2,1,2.0,2,3.42,1324,9499.0,6988,1893,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5408,Take Your Way,18799,1,15,1,2,1,3.0,6,6.6,1086,5229.0,6920,1946,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5409,Ayashi no Ceres,104,6,13,24,2,1,21.0,2,7.34,20548,2267.0,1677,43883,486,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2000
5410,Isekai no Seikishi Monogatari,5781,5,14,13,2,1,45.0,1,8.02,45216,532.0,841,103355,1402,3,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411,Eureka Seven,237,6,14,50,2,1,24.0,6,8.15,127472,370.0,203,305772,7934,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
5412,Shirogane no Ishi: Argevollen,23325,6,14,24,2,1,23.0,2,6.53,13147,5494.0,1919,35377,39,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
5413,Sore Ike! Anpanman: Baikinman no Gyakushuu,10061,4,15,1,2,1,70.0,4,5.98,40,12188.0,11575,174,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,Seikoku no Dragonar,21033,6,10,12,2,1,24.0,1,6.71,58573,4725.0,748,115421,195,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
5415,Ani*Kuri15,2832,3,14,15,2,1,1.0,6,6.93,7423,3801.0,3028,15434,9,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
5416,New Initial D Movie: Legend 2 - Tousou,28881,4,13,1,2,1,1.0,6,7.92,3991,663.0,3876,8852,20,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5417,Maria†Holic Alive Special,10945,3,13,1,2,1,2.0,6,6.84,1302,4153.0,4708,5480,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5418,Yukiwatari,15141,4,15,1,2,1,22.0,5,6.06,31,12804.0,11331,193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5419,Rizelmine,197,6,13,24,2,1,15.0,1,6.62,7989,5132.0,2747,18818,44,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
5420,Gensoumaden Saiyuuki,129,6,13,50,2,1,23.0,2,7.68,14818,1145.0,1829,38291,766,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2000
5421,Yuureisen,11447,4,3,1,2,1,11.0,5,5.61,416,8187.0,8492,893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5422,Saikyou Ginga Ultimate Zero: Battle Spirits,19825,6,2,49,2,1,23.0,4,6.73,201,4636.0,8318,981,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2013
5423,Ushinawareta Mirai wo Motomete,21845,6,12,12,2,1,23.0,6,6.83,21389,4220.0,1348,60214,129,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
5424,Giant Gorg,3327,6,14,26,2,1,25.0,6,7.74,559,1014.0,6451,2435,14,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
5425,Ai Mai! Moe Can Change!,12501,5,11,1,2,1,24.0,6,5.62,2920,8148.0,4653,5622,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5426,Imouto Jiru,1783,5,12,2,2,1,29.0,3,6.59,3023,0.0,4191,7354,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5427,Kodomo no Kaitei no Koto,29908,4,14,1,2,1,2.0,5,4.38,122,9396.0,10767,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5428,Dambo,7512,1,14,1,2,1,5.0,6,4.87,221,9146.0,10045,376,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5429,Dallos Special,10313,4,14,1,2,1,85.0,6,5.64,131,8120.0,9874,411,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5430,Toaru Majutsu no Index Movie: Endymion no Kiseki Special,20035,3,15,1,2,1,12.0,6,7.18,6117,2908.0,3162,14239,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5431,Miracle☆Train: Oedo-sen e Youkoso,7103,6,14,13,2,1,23.0,6,6.64,5294,5022.0,3024,15475,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009
5432,Junai Rhapsody,37538,1,12,1,2,1,2.0,5,4.64,25,10650.0,13889,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5433,Aoi Sekai no Chuushin de,15133,3,13,3,2,1,23.0,1,5.95,15067,7448.0,2010,32617,39,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5434,Mobile Suit Gundam 00,2581,6,14,25,2,1,24.0,2,8.21,82367,306.0,576,144354,3866,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
5435,"Kuroshitsuji: Sono Shitsuji, Kougyou",6793,3,13,1,2,1,26.0,6,7.67,36394,1171.0,1220,66777,249,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5436,Nimrod,19237,1,15,1,2,1,3.0,5,5.68,245,8045.0,9813,427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5437,Ao no Exorcist,9919,6,13,25,2,1,24.0,6,7.83,521881,823.0,14,863098,13130,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011
5438,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,16005,6,14,12,2,1,24.0,2,7.65,37560,1232.0,1004,83961,297,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2013
5439,Niedola,31641,1,7,1,2,1,5.0,6,5.38,129,8569.0,10894,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,Starly Girls: Episode Starsia,34276,2,15,12,0,1,22.0,0,0.0,0,0.0,11361,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5441,Chikyuu wo Mitsumete,30634,4,15,1,2,1,20.0,5,6.13,8,9868.0,12687,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5442,Aneimo,5194,5,12,2,2,1,30.0,3,7.08,3978,0.0,3836,9059,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5443,Takarajima Memorial: Yuunagi to Yobareta Otoko,11685,5,8,1,2,1,7.0,5,6.65,335,4992.0,8816,749,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5444,Taka no Tsume: Tokyo Comic Con 2017 no Ouen-dan ni Shuunin Kettei!,36132,2,14,1,2,1,1.0,5,3.65,20,12343.0,13023,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5445,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,11053,4,15,1,2,1,100.0,4,7.28,599,2485.0,7844,1242,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5446,Giant Robo Gaiden Ginrei,2322,5,15,3,2,1,30.0,6,6.15,995,6928.0,6134,2797,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5447,Vexille: 2077 Nihon Sakoku,2746,4,14,1,2,1,110.0,6,7.01,9689,3549.0,2976,16024,34,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5448,Nagagutsu wo Haita Neko,2279,4,15,1,2,1,80.0,5,7.15,1254,2999.0,6621,2235,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5449,Furusato Saisei: Nippon no Mukashibanashi,13163,6,9,258,2,1,24.0,5,7.1,556,3201.0,3962,8341,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
5450,Xevious,12799,4,11,1,2,1,75.0,2,5.46,13,12688.0,10624,276,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5451,Larva 3rd Season,31674,6,15,26,2,1,1.0,5,6.12,68,7031.0,12013,147,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5452,Colorful (Movie),8142,4,8,1,2,1,127.0,6,7.99,40843,563.0,942,89699,674,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5453,Mobile Suit Gundam SEED: SEED Supernova - Tanekyara Gekijou,2743,3,14,4,2,1,4.0,6,7.58,2928,1412.0,4469,6209,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5454,Dream Hunter Rem,4003,5,14,4,2,1,40.0,2,6.16,535,6898.0,6797,2056,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5455,Shashinkan,20671,4,15,1,2,1,16.0,5,7.48,1176,1707.0,5861,3127,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5456,Utsukushiki Sei no Dendoushi Reirei,2959,5,15,2,2,1,30.0,3,5.66,543,0.0,7518,1450,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5457,Bishoujo Senshi Sailor Moon SuperS,1239,6,13,39,2,1,24.0,6,7.65,35676,1213.0,1241,65650,378,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
5458,Long Riders! Recap,34367,3,13,1,2,1,23.0,6,5.73,276,7928.0,8347,962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
5459,Yell,29970,1,7,1,2,1,2.0,5,5.43,42,12757.0,12976,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5460,Yaoguai Mingdan,29089,2,5,18,2,1,13.0,6,7.07,1846,3324.0,3648,10234,41,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5461,Hello Kitty to Miyou: Nihon Mukashibanashi,35039,5,14,7,2,1,30.0,5,5.64,11,10417.0,13598,71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5462,Kuma Miko Specials,33118,3,13,2,2,1,16.0,6,6.56,1776,5377.0,4771,5313,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5463,Akame ga Kill!,22199,6,13,24,2,1,23.0,2,7.8,475884,869.0,25,777199,14475,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014
5464,Akikan!,5112,6,10,12,2,1,23.0,6,6.33,45308,6258.0,971,87374,123,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5465,Uchuu Patrol Hopper,12897,6,15,44,2,1,25.0,0,6.45,20,12552.0,10878,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1965
5466,Knight&#039;s & Magic,34104,6,10,13,2,1,24.0,6,7.31,44748,2390.0,892,97085,409,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
5467,Calm,29772,4,15,1,2,1,7.0,5,5.67,454,8056.0,8691,802,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5468,Uwabaki Cook,30131,6,15,13,2,1,3.0,4,4.7,10,12604.0,12510,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
5469,Big Wars: Kami Utsu Akaki Kouya ni,2622,5,8,1,2,1,71.0,1,5.57,931,8244.0,7069,1810,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5470,Kurenai Sanshirou,4439,6,13,26,2,1,25.0,6,6.6,213,5207.0,8696,801,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1969
5471,Neko Neko Fantasia,8496,5,13,1,2,1,25.0,5,6.1,153,7089.0,9970,393,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5472,Gendai Kibunroku Kaii Monogatari,6271,5,15,1,2,1,46.0,0,6.3,58,6383.0,8560,860,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5473,RESTART POiNTER,33420,1,11,1,2,1,3.0,5,7.0,511,3577.0,8256,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5474,The Sun Sank,36066,1,7,1,2,1,5.0,5,4.51,35,12430.0,13705,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5475,Otogi Juushi Akazukin,607,6,14,39,2,1,24.0,6,7.06,1054,3344.0,4971,4757,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
5476,Wake up!! Tamala,31476,4,15,1,2,1,17.0,5,5.83,85,7747.0,10592,280,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5477,Tsuma ga Onsen de Circle Nakama no Nikubenki ni Natta no Desu ga... Anime Edition,35573,5,13,1,2,1,23.0,3,5.81,402,0.0,7923,1198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5478,Kamichama Karin,1808,6,13,26,2,1,24.0,6,7.46,14728,1777.0,1916,35515,449,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2007
